RMS,Peak_Amplitude,Num_Peaks,ZCR,Amplitude_Range,Spread_Ratio,IQR_Ratio,Spectral_Centroid_Hz,Low_Band_Ratio,High_Band_Ratio,Env_RMS,Env_Peak,Mean_Interval,Std_Interval,Waveform_Skew,Waveform_Kurt,Top1_Bin_Energy,Top1_Bin_Center,Top2_Bin_Energy,Top2_Bin_Center,Top3_Bin_Energy,Top3_Bin_Center,Top4_Bin_Energy,Top4_Bin_Center,Top5_Bin_Energy,Top5_Bin_Center,Top6_Bin_Energy,Top6_Bin_Center,Top7_Bin_Energy,Top7_Bin_Center,Top8_Bin_Energy,Top8_Bin_Center,Top9_Bin_Energy,Top9_Bin_Center,Top10_Bin_Energy,Top10_Bin_Center,Label
2559.225674951577,2609.0,364,4700.663709435346,102.0,0.03985586983480501,0.001953125,2465.3237687769592,0.14694455845214216,0.853055441547858,2559.2298243652926,2609.0827075841116,0.008186225895316805,0.006523559999526991,-0.2631022924579557,11.926030766550545,354700319.4263629,50,354115423.04860914,4950,338157563.0170219,1750,271851592.82138073,3550,268414485.0459532,150,254981192.3659949,3350,237100074.89090484,1550,208465967.48564306,2250,197142690.39793178,4550,196651085.8846126,1350,0
2570.0796078937938,2630.0,337,4612.304817829974,122.0,0.04746942436937153,0.0023346303501945525,2467.9825226315797,0.1408846795795729,0.8591153204204272,2570.083811682874,2630.002021690836,0.008852380952380954,0.007202318181544641,0.29023937824476387,10.754073088348623,352829941.14194953,1750,347896884.1693579,4950,305367810.81516176,50,275174058.8005688,150,259466923.12318838,3550,243881649.07530433,1550,235007102.24463198,1650,222351074.66126007,2250,220697815.7158574,3350,202058941.90847373,4850,0
2564.5512030093055,2618.0,382,4632.014412490825,105.0,0.04094290165043499,0.0019500780031201249,2465.6189628495595,0.1448545923097758,0.8551454076902242,2564.5552984303026,2618.0002490913753,0.007843307086614173,0.006369109224826593,0.16279989724620186,11.7098164530218,346842920.8341832,4950,318690353.0017302,1750,296410333.1222371,150,289857031.34229124,50,265182966.6937775,3550,253664339.59799343,1550,219975045.78965086,2250,215203798.1985804,1650,214746992.0749145,3350,196593485.89454603,3150,0
2565.9470212342744,2613.0,427,4557.523599853231,100.0,0.03897202714795129,0.002338269680436477,2454.079893247368,0.14348002038604477,0.8565199796139553,2565.9510490334933,2613.005783920048,0.006994600938967136,0.006121051488071597,-0.13129757714066415,8.775964935682417,355252861.6469937,1750,344774807.9770752,4950,287450065.1826559,50,280758211.27167207,150,262877191.80423912,2250,259467174.49190837,3550,245480563.98998007,1550,219412042.55994666,1650,199173080.1938637,350,191458983.22626233,4850,0
2567.0056536984926,2617.0,378,4557.494078793742,98.0,0.03817683633431854,0.002337358784573432,2466.7081403422153,0.13802747050752717,0.8619725294924727,2567.0097061629804,2617.002885917119,0.0079315649867374,0.006617538464013619,-0.07596649392915392,8.426710123080367,355325354.9416378,4950,347628852.93520594,1750,292194025.9450489,50,261420874.8443672,3550,249939042.17486066,1550,245983906.31662413,150,230643468.86037785,1650,227640152.61821872,2250,201680260.1700544,3350,191118944.3168282,1350,0
2566.6274934592234,2617.0,406,4591.7550530318185,105.0,0.04090978147675798,0.0019477989871445266,2467.840078907534,0.1495450560766178,0.8504549439233823,2566.6316461836263,2617.0056710768104,0.007365185185185185,0.0067223818366929314,-0.11752832155196283,10.186958164941942,343958864.99158937,4950,341477740.1742476,50,309427352.34286046,1750,284534981.12246656,150,268911704.3314781,3550,222534433.7401293,3350,214274018.0582335,1550,201563734.67497164,3250,201554193.2155096,2250,200533167.55673084,1650,0
2567.671847207787,2618.0,393,4651.186067460714,111.0,0.0432298946965153,0.0019470404984423676,2471.6605431467347,0.13707255527558818,0.8629274447244117,2567.6760935677944,2618.000538063801,0.007613265306122449,0.00628244862822987,-0.20813139880778628,10.018410117632259,360354678.52751184,1750,358045103.4491892,4950,286655969.0632346,50,270123290.9395069,3550,265360037.2853436,1550,256850182.2305933,2250,251809590.6078214,150,228763946.74595463,4550,223524990.27344143,4850,218875255.84818333,1650,0
2568.3464785039323,2618.0,325,4705.62727242403,100.0,0.038935619468121435,0.0019470404984423676,2474.303152519985,0.14001032776188058,0.8599896722381195,2568.3506173634487,2618.1530054842224,0.009215432098765432,0.007107873142914113,-0.015267667834581476,9.305833857053447,336943688.5277616,4950,313613097.6753205,1750,274776157.3750387,150,263981687.95069417,50,259044842.22422647,3550,250743777.6518576,1550,220889151.32600963,3350,212843391.228571,1650,210742128.27821556,4850,198725917.1280514,2250,0
2568.2233981065046,2625.0,367,4587.058038692461,110.0,0.04283123530890772,0.0019470404984423676,2460.795521613005,0.14353578835115804,0.856464211648842,2568.227616690648,2625.000198260528,0.0081724043715847,0.006416698520427575,0.08308941287708503,10.377802934595595,321500484.23140585,4950,296731891.70344275,1750,289746647.84373593,50,280828197.1695626,150,269851229.00417364,3550,248380102.7991913,1550,238245315.1347021,1650,215022601.8264322,4850,213191301.06205398,650,212500081.34457478,3350,0
2568.46922151332,2620.0,372,4599.066044029352,101.0,0.039323095451925416,0.0019470404984423676,2450.450667862632,0.15705292116397235,0.8429470788360276,2568.47329957159,2620.0003861516416,0.008064420485175203,0.006580378074819021,0.1862232650560538,6.083819920361728,423078515.1895491,50,351531496.5365754,1750,324509290.59010744,4950,275063458.27433693,150,273185376.5707482,3550,245195133.80370402,1550,205890542.7291814,4850,205087446.19076845,950,194441484.37175897,1650,192771654.8119974,3150,0
2562.8655712948707,2614.0,341,4541.725035021012,103.0,0.04018945046348882,0.0019508388607101053,2452.9057622966207,0.15288076710396836,0.8471192328960315,2562.869524626034,2614.0002976058986,0.008794117647058824,0.0066301513236422215,-0.12256233823880132,9.604419343205109,370132276.8625419,50,314732409.3328062,1750,300894900.3041825,4950,279149401.3852496,150,258603039.8182108,1550,244746658.53341463,3550,213980717.36591747,3350,201466769.90140238,1650,201093425.7922524,3250,194811022.09861636,4550,0
2566.379593920468,2613.0,395,4609.612113531001,94.0,0.036627532477119015,0.0019485580670303975,2445.6855291036695,0.14654804332209176,0.8534519566779082,2566.3837417481172,2613.0053370512037,0.007583248730964467,0.006418862875405562,-0.3060072097567376,9.29149249664865,359394236.7441833,1750,342952232.82897246,4950,303794025.65054077,150,279759812.35327107,50,243831558.77807084,1550,239051425.2196918,3550,225191227.29137632,1650,214853784.94373646,350,208264196.59026015,650,207418776.1789177,3350,0
2570.2548664577503,2622.0,353,4634.935459124112,103.0,0.04007391353937362,0.0019455252918287938,2460.8486426103623,0.13857676949172246,0.8614232305082775,2570.2591408667663,2622.005793573141,0.008445170454545453,0.006631530184247194,0.015387380991677397,10.052594685469815,370808866.1828621,1750,366307938.70156455,4950,282587628.2995677,150,278249021.1639805,50,277892067.4981661,3550,266084623.13841295,2250,245786127.6766463,1550,240971864.57152468,3350,214645029.8275457,1650,208257619.44702178,3250,0
2561.1982548767733,2614.0,357,4379.440312197726,106.0,0.04138694865550037,0.0023428348301444747,2455.9513556907827,0.20257117216721515,0.7974288278327849,2561.20262028278,2614.0012230373427,0.008368258426966292,0.007075807676180447,0.012667370193159633,10.370824874125336,951551253.7463286,50,370929861.8717036,1750,330374943.4859594,4950,275538662.6421963,150,266901368.79051855,3550,238409325.16818556,3350,226240211.01345193,1550,214697594.77360672,1650,205342232.30525383,4850,196111643.66617978,3250,0
2571.1720042051375,2627.0,329,4622.125958013995,105.0,0.04083747400734729,0.002333722287047841,2454.3698164382295,0.15202810799773608,0.847971892002264,2571.1761633728433,2627.004882181967,0.009111585365853658,0.007940098907277317,-0.20034081042693733,10.147878521676036,392598801.9277199,50,348520313.56176615,4950,342399383.5228452,1750,277780213.48679173,150,263866334.9157481,3550,237939086.81118828,3350,235913713.65384075,1550,211733431.0803842,2250,210870903.27082044,1650,205165934.7018451,650,0
2571.3490258426623,2614.0,333,4606.977441604745,95.0,0.03694564603729601,0.0019447685725398677,2465.826101157399,0.1558295668079667,0.8441704331920332,2571.3531114902357,2614.0007237153773,0.008984337349397591,0.007111512504598647,-0.10377768953954092,7.162820590895704,441545238.70527273,50,328645587.72486895,1750,310363653.74546945,4950,285934070.8422028,150,264455798.62268102,3550,243755554.4325079,3350,239418776.60646793,2250,229503683.06184956,1650,225281692.97144613,1550,201789548.0225811,4850,0
2570.67657348747,2623.0,362,4622.078484979828,105.0,0.04084534633225776,0.0019447685725398677,2467.169065186541,0.14922706323113508,0.850772936768865,2570.6808567667567,2623.0017850103313,0.008244875346260387,0.0069671355586818215,-0.15489465822179893,10.089351948442797,348760941.3962616,50,347840722.3449226,1750,338574089.2787508,4950,299102403.45757765,150,257354480.6981763,3350,252673425.3282752,3550,244681154.97903723,1550,233677562.8929545,2250,219661307.94694766,1650,219124270.19649518,4550,0
2570.873273233804,2617.0,342,4652.67583077539,101.0,0.0392863236906354,0.0019447685725398677,2468.094276490996,0.13527948966976802,0.8647205103302321,2570.8773350552983,2617.009295600691,0.008692961876832845,0.006875133292976996,-0.04402146430941376,7.664447149366538,326506528.26861906,1750,299828065.7085604,4950,278121639.1987057,150,276789089.7105685,3550,262991582.56050086,3350,249415529.36641663,1550,228172092.91922927,1650,217491478.4309402,50,208680292.2003463,2250,201498060.5040024,4850,0
2559.9474657485125,2608.0,344,4448.151608167623,109.0,0.04257906672107802,0.00234375,2453.3268085109808,0.14689422424566614,0.8531057757543339,2559.951548403653,2608.0092353988225,0.008704956268221575,0.006694190853183482,-0.11420831866499168,9.10425332789027,367403395.7744192,4950,328184594.3608645,50,323487089.8919511,1750,269230633.14740705,1550,261643391.77073938,3350,259444401.0958323,150,240881011.9099457,2250,240116697.65361825,3550,215767370.5371974,4850,213233761.2192284,1650,0
2561.8475047739394,2611.0,341,4587.434520036035,99.0,0.0386440470287634,0.00156128024980484,2465.056308261945,0.14098042561218743,0.8590195743878125,2561.8515275089303,2611.000027585017,0.008718823529411765,0.00704800337379981,0.020386546879896095,10.437668873102368,323074672.9313535,4950,314004578.92432654,1750,289080569.5415859,50,270557216.4038576,150,255661657.27855313,3550,249134369.08423734,2250,241860522.44986477,1550,232068006.17698058,3350,213670770.12055874,4550,203826256.83760098,1350,0
2564.0723098711937,2734.0,427,4486.922871630637,364.0,0.14196219137794217,0.0019500780031201249,1957.7678452137957,0.200233215694966,0.7997667843050339,2564.0816350600635,2734.518494952211,0.006996244131455399,0.0063919098644339345,-4.435193793345722,157.365083514498,3522384000.9604483,750,2146966356.8068528,850,1380716161.3539524,650,1162064951.9840758,1050,1096262244.594388,450,1091129183.0103667,50,931373959.4573182,1150,813594963.898288,950,678814247.3491092,550,606732703.2978585,250,1
2567.335256666742,2646.0,398,4529.837552953734,193.0,0.07517539537962278,0.002337358784573432,2192.350576087101,0.21297923176659886,0.7870207682334012,2567.3411494319043,2646.0285444111746,0.00750831234256927,0.006886752619009894,-1.4007630728757614,41.72046873571744,1186053391.024657,850,1013258263.6070468,750,937119789.8046325,450,491639817.2103311,550,489289450.42102253,950,433637227.38159883,350,419850466.59192616,650,359712605.6403543,1050,357830595.29744905,50,348161750.7229053,150,1
2567.4735307516116,2667.0,447,4551.972521425951,228.0,0.08880353357491698,0.0019470404984423676,2054.554059079326,0.23285046209101523,0.7671495379089847,2567.481659803427,2667.009210344888,0.0067058295964125565,0.00645777677022146,-1.9808456173172324,70.11479712408237,1762244035.3879035,850,1482977924.6800923,750,1472951607.9743395,650,1251754570.6517444,550,941752615.7053392,950,847357642.2389911,350,754399175.5606678,450,724879123.8018667,1050,649412742.10871,50,468317685.8810077,250,1
