RMS,Peak_Amplitude,Num_Peaks,ZCR,Amplitude_Range,Spread_Ratio,IQR_Ratio,Spectral_Centroid_Hz,Low_Band_Ratio,High_Band_Ratio,Env_RMS,Env_Peak,Mean_Interval,Std_Interval,Waveform_Skew,Waveform_Kurt,Top1_Bin_Energy,Top1_Bin_Center,Top2_Bin_Energy,Top2_Bin_Center,Top3_Bin_Energy,Top3_Bin_Center,Top4_Bin_Energy,Top4_Bin_Center,Top5_Bin_Energy,Top5_Bin_Center,Top6_Bin_Energy,Top6_Bin_Center,Top7_Bin_Energy,Top7_Bin_Center,Top8_Bin_Energy,Top8_Bin_Center,Top9_Bin_Energy,Top9_Bin_Center,Top10_Bin_Energy,Top10_Bin_Center,Label
2567.383071155172,2919.0,392,4476.01304145319,1506.0,0.5866061685245776,0.002336448598130841,1210.7333487203387,0.48328599432741226,0.5167140056725877,2567.4559395131746,2957.0736699774775,0.007646035805626598,0.007192687988505873,-31.451888859089756,1493.1798521104263,54186935383.46527,50,26313745595.705795,750,21752660504.077206,850,16422759877.109661,950,10848080531.455196,650,7247430368.93969,150,7242272231.678003,250,6568007679.264914,550,3496124370.1713204,450,2782404623.378327,1050,0
2567.982830969416,2890.0,414,4388.369539904854,1341.0,0.5222105361044252,0.0019470404984423676,1313.9744388093984,0.45912818257123955,0.5408718174287604,2568.035856126527,2928.6561503007024,0.007210653753026634,0.006404090914741746,-31.339660827554965,1560.3020653638337,34122351100.32802,50,18399362069.767906,750,16330121178.383991,850,11755059037.338837,950,8487494410.567065,650,5805307896.897348,550,5706257170.698713,250,5401967166.160339,150,3071947585.550465,450,2364693474.512503,1050,0
2568.7009589385966,2901.0,356,4380.879311495096,1428.0,0.5559382073398375,0.001946282600233554,1225.2924995684893,0.5072184420334132,0.4927815579665869,2568.7711200395197,2937.9545097644095,0.008423380281690143,0.008027483766159185,-29.832188842608133,1345.1596544281467,52645963752.618095,50,30009750327.0766,750,18477890248.04409,850,12680788339.643606,950,9979654406.47181,550,8560296780.472452,650,6708795620.126046,250,6329089591.840995,150,4018228071.7197037,450,1906355604.2975564,350,0
2567.5083161211214,2912.0,395,4436.145381793931,1445.0,0.5628176458775017,0.002336448598130841,1226.862812981394,0.49496055448339943,0.5050394455166006,2567.5775838588843,2943.318841771147,0.007600761421319797,0.007163721661935171,-30.331454705845804,1396.971642141902,51882148130.148895,50,25776072787.303017,750,20279951181.449352,850,14579813825.318357,950,9062639727.619915,650,8036666013.748601,550,6778726900.842552,250,6695425758.386913,150,3388942571.4688196,450,2055925595.1497862,350,0
2567.6153734304653,2893.0,411,4434.031483457844,1394.0,0.5429296229469358,0.002336448598130841,1252.8198163028205,0.4933348657638364,0.5066651342361638,2567.678816820655,2929.4329513856583,0.007285121951219512,0.006755117164931876,-30.023343831008255,1390.6932018834195,44558974268.49533,50,24252891944.93306,750,17609400961.57643,850,14269103984.130932,950,8657550107.72152,550,7972346788.775822,650,6691371704.585673,250,6232605749.146038,150,3657679419.3366823,450,2017225279.1318095,350,0
2567.586144953285,2903.0,418,4435.214838537497,1447.0,0.5635793711624059,0.002336448598130841,1253.7386756995932,0.48578775237976823,0.5142122476202318,2567.654607224263,2937.922550976704,0.007152997601918466,0.006766655223141433,-30.681206842943183,1436.5583411691516,50523301665.75368,50,23731414686.74055,750,20085077951.525833,850,15947566027.681679,950,9454278145.948318,650,6927263349.409638,550,6613072224.412075,150,6440382418.784647,250,3481567268.306137,450,2432247214.084515,1050,0
2568.7613709950438,2903.0,373,4348.246755413205,1474.0,0.573833923947922,0.001946282600233554,1226.4704671745374,0.5065175218056331,0.49348247819436697,2568.8352878228798,2937.670594057196,0.007996774193548387,0.007145074273117549,-30.354089342592243,1388.9264769425517,56503015422.83,50,29375242776.276264,750,19860384852.72857,850,14655817448.670479,950,9516072544.389229,550,9247419890.452572,650,7163385202.701223,250,6759550565.371283,150,3931189816.545594,450,2097519078.6196613,350,0
2569.489421717527,2906.0,397,4491.9465101544,1471.0,0.5725034314155888,0.0023346303501945525,1234.644557768387,0.5004017377583089,0.49959826224169107,2569.5619273929715,2937.3150385606723,0.007544191919191918,0.0067696732836383874,-30.519756334038362,1408.97866981113,53978424011.88621,50,28870595169.627056,750,20578731879.574562,850,13928223319.414963,950,9313482811.719337,650,8536538369.7046385,550,7582396618.689316,250,6857619262.64724,150,4040531579.742405,450,2505906266.09701,350,0
2569.7947166797544,2937.0,375,4322.415114458032,1560.0,0.6070723210407692,0.0019455252918287938,1192.282313530907,0.5151277438061561,0.4848722561938439,2569.879124365904,2963.8791969952845,0.007965508021390373,0.0073709621509464,-29.57861878515797,1305.1859403936496,69184861250.6157,50,34265349803.2886,750,23487094531.511265,850,14989982054.337118,950,10641229531.189926,650,9976734141.541285,550,7833772369.765829,150,7018952462.889078,250,3942128528.328063,450,2092072658.378248,350,0
2568.490034216715,2934.0,373,4502.3348899266175,1580.0,0.615167946197311,0.0023355391202802647,1183.1912849483072,0.5191172671003916,0.4808827328996083,2568.5757622270776,2964.4850496545387,0.007997043010752687,0.007655577548447975,-29.8981605245787,1334.4476554345388,70104328939.45528,50,33998791291.136547,750,22687087467.079704,850,16000822133.443653,950,10732220837.573767,650,10504644436.097725,550,8235545731.428147,150,7143486599.862419,250,4346450880.714279,450,2070955128.2584944,350,0
